Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 14.71      0.03     0.03     5408     0.00     0.01  cv::Mat::operator=(cv::Mat const&)
  5.88      0.04     0.01  5651870     0.00     0.00  cv::Mat::release()
  5.88      0.05     0.01   408016     0.00     0.00  cv::Rect_<int>::Rect_(cv::Rect_<int> const&)
  5.88      0.06     0.01   263060     0.00     0.00  std::_List_iterator<ChannelScore>::_List_iterator(std::__detail::_List_node_base*)
  5.88      0.07     0.01   246149     0.00     0.00  std::allocator<std::_List_node<ChannelScore> >::allocator()
  5.88      0.08     0.01   246149     0.00     0.00  std::_List_base<ChannelScore, std::allocator<ChannelScore> >::_List_impl::~_List_impl()
  5.88      0.09     0.01   170074     0.00     0.00  std::_List_iterator<EnsembleTracker*>::operator*() const
  5.88      0.10     0.01   114812     0.00     0.00  cv::Size_<int>::Size_(int, int)
  5.88      0.11     0.01    73656     0.00     0.00  cv::Rect_<int>& cv::operator&=<int>(cv::Rect_<int>&, cv::Rect_<int> const&)
  5.88      0.12     0.01    49722     0.00     0.00  std::list<EnsembleTracker*, std::allocator<EnsembleTracker*> >::list()
  5.88      0.13     0.01    14441     0.00     0.00  std::list<EnsembleTracker*, std::allocator<EnsembleTracker*> >::_M_create_node(EnsembleTracker* const&)
  5.88      0.14     0.01     2543     0.00     0.01  EnsembleTracker::calcConfidenceMap(cv::Mat const*, cv::Mat&)
  5.88      0.15     0.01     2385     0.00     0.00  WaitingList::update()
  5.88      0.16     0.01      868     0.01     0.01  Controller::takeVoteForHeight(cv::Rect_<int>)
  5.88      0.17     0.01        1    10.00    10.00  cv::_InputArray::_InputArray<float>(std::vector<float, std::allocator<float> > const&)
  2.94      0.17     0.01                             operator delete(void*, void*)
  0.00      0.17     0.00  3073526     0.00     0.00  cv::Mat::~Mat()
  0.00      0.17     0.00  2738842     0.00     0.00  cv::Mat::MStep::operator[](int)
  0.00      0.17     0.00  2738842     0.00     0.00  cv::Mat::MStep::operator[](int) const
  0.00      0.17     0.00  1082304     0.00     0.00  float* cv::Mat::ptr<float>(int)
  0.00      0.17     0.00   405692     0.00     0.00  cv::MatExpr::~MatExpr()
  0.00      0.17     0.00   403398     0.00     0.00  cv::Mat::MSize::MSize(int*)
  0.00      0.17     0.00   403398     0.00     0.00  cv::Mat::MStep::MStep()
  0.00      0.17     0.00   380023     0.00     0.00  std::_Iter_base<double*, false>::_S_base(double*)
  0.00      0.17     0.00   370443     0.00     0.00  std::_List_iterator<AppTemplate*>::operator!=(std::_List_iterator<AppTemplate*> const&) const
  0.00      0.17     0.00   351755     0.00     0.00  std::_List_const_iterator<AppTemplate*>::operator!=(std::_List_const_iterator<AppTemplate*> const&) const
  0.00      0.17     0.00   331005     0.00     0.00  std::_List_iterator<AppTemplate*>::_List_iterator(std::__detail::_List_node_base*)
  0.00      0.17     0.00   330796     0.00     0.00  cv::Mat::initEmpty()
  0.00      0.17     0.00   330248     0.00     0.00  std::_List_const_iterator<AppTemplate*>::operator++()
  0.00      0.17     0.00   288524     0.00     0.00  cv::Mat::Mat()
  0.00      0.17     0.00   285065     0.00     0.00  std::_List_iterator<AppTemplate*>::operator*() const
  0.00      0.17     0.00   270576     0.00     0.00  std::_List_base<ChannelScore, std::allocator<ChannelScore> >::_M_get_Node_allocator()
  0.00      0.17     0.00   266788     0.00     0.00  std::_List_base<AppTemplate*, std::allocator<AppTemplate*> >::_M_get_Node_allocator()
  0.00      0.17     0.00   262145     0.00     0.00  cv::Vec<double, 4>::Vec()
  0.00      0.17     0.00   262145     0.00     0.00  cv::Matx<double, 4, 1>::Matx()
  0.00      0.17     0.00   252198     0.00     0.00  cv::Scalar_<double>::Scalar_(double)
  0.00      0.17     0.00   248028     0.00     0.00  std::_List_base<ChannelScore, std::allocator<ChannelScore> >::_M_init()
  0.00      0.17     0.00   248028     0.00     0.00  std::_List_base<ChannelScore, std::allocator<ChannelScore> >::_M_clear()
  0.00      0.17     0.00   246149     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<ChannelScore> >::new_allocator()
  0.00      0.17     0.00   246149     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<ChannelScore> >::~new_allocator()
  0.00      0.17     0.00   246149     0.00     0.00  std::allocator<std::_List_node<ChannelScore> >::~allocator()
  0.00      0.17     0.00   246149     0.00     0.00  std::_List_base<ChannelScore, std::allocator<ChannelScore> >::_List_impl::_List_impl()
  0.00      0.17     0.00   246149     0.00     0.00  std::_List_base<ChannelScore, std::allocator<ChannelScore> >::_List_base()
  0.00      0.17     0.00   246149     0.00     0.00  std::_List_base<ChannelScore, std::allocator<ChannelScore> >::~_List_base()
  0.00      0.17     0.00   246149     0.00     0.00  std::list<ChannelScore, std::allocator<ChannelScore> >::list()
  0.00      0.17     0.00   246149     0.00     0.00  std::list<ChannelScore, std::allocator<ChannelScore> >::~list()
  0.00      0.17     0.00   234243     0.00     0.00  std::_List_iterator<ChannelScore>::operator!=(std::_List_iterator<ChannelScore> const&) const
  0.00      0.17     0.00   230253     0.00     0.00  cv::Rect_<int>::Rect_(int, int, int, int)
  0.00      0.17     0.00   229749     0.00     0.00  cv::Mat::operator=(cv::MatExpr const&)
  0.00      0.17     0.00   228349     0.00     0.00  std::_Niter_base<double*>::iterator_type std::__niter_base<double*>(double*)
  0.00      0.17     0.00   224351     0.00     0.00  Matrix<double>::operator()(int, int)
  0.00      0.17     0.00   213970     0.00     0.00  AppTemplate::getScore()
  0.00      0.17     0.00   184668     0.00     0.00  std::list<AppTemplate*, std::allocator<AppTemplate*> >::end()
  0.00      0.17     0.00   177082     0.00     0.00  Matrix<double>::columns()
  0.00      0.17     0.00   165541     0.00     0.00  Matrix<int>::operator()(int, int)
  0.00      0.17     0.00   163088     0.00     0.00  int const& std::min<int>(int const&, int const&)
  0.00      0.17     0.00   160864     0.00     0.00  int const& std::max<int>(int const&, int const&)
  0.00      0.17     0.00   158943     0.00     0.00  operator new(unsigned long, void*)
  0.00      0.17     0.00   152500     0.00     0.00  std::vector<double, std::allocator<double> >::size() const
  0.00      0.17     0.00   151678     0.00     0.00  __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >::base() const
  0.00      0.17     0.00   151676     0.00     0.00  std::_Miter_base<double*>::iterator_type std::__miter_base<double*>(double*)
  0.00      0.17     0.00   149314     0.00     0.00  std::_List_iterator<ChannelScore>::operator*() const
  0.00      0.17     0.00   144890     0.00     0.00  std::list<AppTemplate*, std::allocator<AppTemplate*> >::begin()
  0.00      0.17     0.00   142804     0.00     0.00  std::list<ChannelScore, std::allocator<ChannelScore> >::begin()
  0.00      0.17     0.00   137227     0.00     0.00  cv::MatExpr::operator cv::Mat() const
  0.00      0.17     0.00   123583     0.00     0.00  std::_List_iterator<AppTemplate*>::operator++()
  0.00      0.17     0.00   122880     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<AppTemplate*> >::new_allocator()
  0.00      0.17     0.00   122880     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<AppTemplate*> >::~new_allocator()
  0.00      0.17     0.00   122880     0.00     0.00  std::allocator<std::_List_node<AppTemplate*> >::allocator()
  0.00      0.17     0.00   122880     0.00     0.00  std::allocator<std::_List_node<AppTemplate*> >::~allocator()
  0.00      0.17     0.00   122880     0.00     0.00  std::_List_base<AppTemplate*, std::allocator<AppTemplate*> >::_List_impl::_List_impl()
  0.00      0.17     0.00   122880     0.00     0.00  std::_List_base<AppTemplate*, std::allocator<AppTemplate*> >::_List_impl::~_List_impl()
  0.00      0.17     0.00   122880     0.00     0.00  std::_List_base<AppTemplate*, std::allocator<AppTemplate*> >::_M_init()
  0.00      0.17     0.00   122880     0.00     0.00  std::_List_base<AppTemplate*, std::allocator<AppTemplate*> >::_M_clear()
  0.00      0.17     0.00   122880     0.00     0.00  std::_List_base<AppTemplate*, std::allocator<AppTemplate*> >::_List_base()
  0.00      0.17     0.00   122880     0.00     0.00  std::_List_base<AppTemplate*, std::allocator<AppTemplate*> >::~_List_base()
  0.00      0.17     0.00   122880     0.00     0.00  std::list<AppTemplate*, std::allocator<AppTemplate*> >::list()
  0.00      0.17     0.00   122880     0.00     0.00  std::list<AppTemplate*, std::allocator<AppTemplate*> >::~list()
  0.00      0.17     0.00   116498     0.00     0.00  std::list<ChannelScore, std::allocator<ChannelScore> >::end()
  0.00      0.17     0.00   116223     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_M_get_Tp_allocator()
  0.00      0.17     0.00   114577     0.00     0.00  __gnu_cxx::new_allocator<double>::max_size() const
  0.00      0.17     0.00   105321     0.00     0.00  std::_List_iterator<EnsembleTracker*>::_List_iterator(std::__detail::_List_node_base*)
  0.00      0.17     0.00   104721     0.00     0.00  std::_List_iterator<ChannelScore>::operator++()
  0.00      0.17     0.00   103495     0.00     0.00  std::_List_iterator<AppTemplate*>::operator++(int)
  0.00      0.17     0.00    99538     0.00     0.00  cv::Point_<int>::Point_(int, int)
  0.00      0.17     0.00    90387     0.00     0.00  compareTemplate(AppTemplate*, AppTemplate*)
  0.00      0.17     0.00    89338     0.00     0.00  std::list<ChannelScore, std::allocator<ChannelScore> >::_M_transfer(std::_List_iterator<ChannelScore>, std::_List_iterator<ChannelScore>, std::_List_iterator<ChannelScore>)
  0.00      0.17     0.00    86462     0.00     0.00  std::list<AppTemplate*, std::allocator<AppTemplate*> >::empty() const
  0.00      0.17     0.00    83574     0.00     0.00  EnsembleTracker::getIsNovice()
  0.00      0.17     0.00    79477     0.00     0.00  std::vector<cv::Rect_<int>, std::allocator<cv::Rect_<int> > >::size() const
  0.00      0.17     0.00    78918     0.00     0.00  std::list<ChannelScore, std::allocator<ChannelScore> >::empty() const
  0.00      0.17     0.00    77189     0.00     0.00  cv::Vec<double, 4>::operator[](int)
  0.00      0.17     0.00    76666     0.00     0.00  double* std::__copy_move<false, true, std::random_access_iterator_tag>::__copy_m<double>(double const*, double const*, double*)
  0.00      0.17     0.00    76665     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_M_get_Tp_allocator() const
  0.00      0.17     0.00    75841     0.00     0.00  double* std::uninitialized_copy<double*, double*>(double*, double*, double*)
  0.00      0.17     0.00    75840     0.00     0.00  double* std::__copy_move_a<false, double*, double*>(double*, double*, double*)
  0.00      0.17     0.00    75840     0.00     0.00  double* std::__copy_move_a2<false, double*, double*>(double*, double*, double*)
  0.00      0.17     0.00    75840     0.00     0.00  double* std::__uninitialized_copy_a<double*, double*, double>(double*, double*, double*, std::allocator<double>&)
  0.00      0.17     0.00    75840     0.00     0.00  double* std::__uninitialized_move_if_noexcept_a<double*, double*, std::allocator<double> >(double*, double*, double*, std::allocator<double>&)
  0.00      0.17     0.00    75838     0.00     0.00  double* std::copy<double*, double*>(double*, double*, double*)
  0.00      0.17     0.00    75837     0.00     0.00  std::vector<double, std::allocator<double> >::max_size() const
  0.00      0.17     0.00    75837     0.00     0.00  double* std::__uninitialized_copy<true>::__uninit_copy<double*, double*>(double*, double*, double*)
  0.00      0.17     0.00    75836     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<double> >::max_size(std::allocator<double> const&)
  0.00      0.17     0.00    75324     0.00     0.00  std::list<AppTemplate*, std::allocator<AppTemplate*> >::_M_transfer(std::_List_iterator<AppTemplate*>, std::_List_iterator<AppTemplate*>, std::_List_iterator<AppTemplate*>)
  0.00      0.17     0.00    73656     0.00     0.00  cv::Rect_<int> cv::operator&<int>(cv::Rect_<int> const&, cv::Rect_<int> const&)
  0.00      0.17     0.00    73404     0.00     0.00  cvRound(double)
  0.00      0.17     0.00    73404     0.00     0.00  float cv::saturate_cast<float>(float)
  0.00      0.17     0.00    73404     0.00     0.00  int cv::saturate_cast<int>(float)
  0.00      0.17     0.00    72602     0.00     0.00  cv::Mat::Mat(cv::Mat const&)
  0.00      0.17     0.00    71572     0.00     0.00  std::list<EnsembleTracker*, std::allocator<EnsembleTracker*> >::end()
  0.00      0.17     0.00    71402     0.00     0.00  std::__alloc_neq<std::allocator<std::_List_node<ChannelScore> >, true>::_S_do_it(std::allocator<std::_List_node<ChannelScore> > const&, std::allocator<std::_List_node<ChannelScore> > const&)
  0.00      0.17     0.00    71402     0.00     0.00  std::list<ChannelScore, std::allocator<ChannelScore> >::_M_check_equal_allocators(std::list<ChannelScore, std::allocator<ChannelScore> >&)
  0.00      0.17     0.00    70899     0.00     0.00  compareChannel(ChannelScore, ChannelScore)
  0.00      0.17     0.00    69898     0.00     0.00  cv::_InputArray::_InputArray(cv::Scalar_<double> const&)
  0.00      0.17     0.00    69284     0.00     0.00  std::__alloc_neq<std::allocator<std::_List_node<AppTemplate*> >, true>::_S_do_it(std::allocator<std::_List_node<AppTemplate*> > const&, std::allocator<std::_List_node<AppTemplate*> > const&)
  0.00      0.17     0.00    69284     0.00     0.00  std::list<AppTemplate*, std::allocator<AppTemplate*> >::_M_check_equal_allocators(std::list<AppTemplate*, std::allocator<AppTemplate*> >&)
